Wavelength,Lens transmittance
310,10.3
311,13.23122228
312,15.9991112
313,18.60981493
314,21.0694816
315,23.38425938
316,25.5602964
317,27.60374083
318,29.5207408
319,31.31744448
320,33
321,34.57455552
322,36.0472592
323,37.42425917
324,38.7117036
325,39.91574062
326,41.0425184
327,42.09818507
328,43.0888888
329,44.02077772
330,44.9
331,45.73245563
332,46.523052
333,47.27644838
334,47.99730401
335,48.69027814
336,49.36003001
337,50.01121889
338,50.64850401
339,51.27654463
340,51.9
341,52.49376339
342,53.09791728
343,53.71075163
344,54.33055638
345,54.95562146
346,55.58423683
347,56.21469243
348,56.84527819
349,57.47428407
350,58.1
351,58.72071593
352,59.33472181
353,59.94030757
354,60.53576317
355,61.11937854
356,61.68944362
357,62.24424837
358,62.78208272
359,63.30123661
360,63.8
361,64.27737288
362,64.73519547
363,65.17601807
364,65.60239095
365,66.01686439
366,66.42198869
367,66.82031411
368,67.21439095
369,67.60676949
370,68
371,68.39599255
372,68.79409629
373,69.19302014
374,69.59147303
375,69.98816389
376,70.38180163
377,70.77109519
378,71.15475349
379,71.53148545
380,71.9
381,72.25935692
382,72.61001936
383,72.95280136
384,73.28851692
385,73.61798006
386,73.94200479
387,74.26140514
388,74.57699511
389,74.88958873
390,75.2
391,75.50877978
392,75.81542625
393,76.11917442
394,76.41925929
395,76.71491588
396,77.0053792
397,77.28988426
398,77.56766608
399,77.83795965
400,78.1
401,78.35322395
402,78.59787563
403,78.83440097
404,79.06324592
405,79.28485642
406,79.4996784
407,79.70815781
408,79.91074058
409,80.10787267
410,80.3
411,80.4875244
412,80.67067122
413,80.84962169
414,81.02455702
415,81.19565845
416,81.36310721
417,81.52708451
418,81.68777159
419,81.84534968
420,82
421,82.15197843
422,82.30183947
423,82.45021228
424,82.597726
425,82.74500978
426,82.89269278
427,83.04140415
428,83.19177304
429,83.34442861
430,83.5
431,83.65886187
432,83.82037088
433,83.9836292
434,84.147739
435,84.31180243
436,84.47492167
437,84.63619888
438,84.79473623
439,84.94963588
440,85.1
441,85.24517409
442,85.385477
443,85.52147091
444,85.65371801
445,85.78278049
446,85.90922052
447,86.03360031
448,86.15648203
449,86.27842786
450,86.4
451,86.52164178
452,86.64332114
453,86.76488717
454,86.88618897
455,87.00707562
456,87.12739623
457,87.24699988
458,87.36573566
459,87.48345267
460,87.6
461,87.7152588
462,87.82923846
463,87.94198042
464,88.05352612
465,88.16391702
466,88.27319456
467,88.38140018
468,88.48857533
469,88.59476146
470,88.7
471,88.80422302
472,88.90692503
473,89.00749117
474,89.10530654
475,89.19975629
476,89.29022553
477,89.37609939
478,89.45676301
479,89.5316015
480,89.6
481,89.66174911
482,89.7182614
483,89.77135492
484,89.82284772
485,89.87455784
486,89.92830333
487,89.98590224
488,90.04917262
489,90.11993253
490,90.2
491,90.29058053
492,90.39042935
493,90.49768914
494,90.61050259
495,90.72701237
496,90.84536116
497,90.96369164
498,91.08014649
499,91.19286838
500,91.3
501,91.40012878
502,91.4936212
503,91.5812885
504,91.66394191
505,91.74239267
506,91.81745202
507,91.88993119
508,91.96064142
509,92.03039394
510,92.1
511,92.17010435
512,92.24068585
513,92.31155686
514,92.38252977
515,92.45341695
516,92.52403077
517,92.59418361
518,92.66368785
519,92.73235585
520,92.8
521,92.86645382
522,92.93163542
523,92.99548406
524,93.05793902
525,93.11893955
526,93.17842491
527,93.23633437
528,93.2926072
529,93.34718266
530,93.4
531,93.45108038
532,93.50077249
533,93.54950689
534,93.59771416
535,93.64582487
536,93.69426959
537,93.74347889
538,93.79388335
539,93.84591353
540,93.9
541,93.95642466
542,94.01487463
543,94.07488837
544,94.13600433
545,94.19776097
546,94.25969673
547,94.32135006
548,94.38225941
549,94.44196324
550,94.5
551,94.556021
552,94.610129
553,94.66253962
554,94.7134685
555,94.76313125
556,94.81174351
557,94.85952088
558,94.90667901
559,94.9534335
560,95
561,95.04659135
562,95.09340938
563,95.14065313
564,95.18852166
565,95.23721402
566,95.28692925
567,95.33786641
568,95.39022456
569,95.44420274
570,95.5
571,95.55771358
572,95.61703347
573,95.67754784
574,95.73884485
575,95.80051268
576,95.86213949
577,95.92331346
578,95.98362275
579,96.04265554
580,96.1
581,96.15535431
582,96.20885672
583,96.26075551
584,96.31129894
585,96.36073527
586,96.40931279
587,96.45727975
588,96.50488443
589,96.55237509
590,96.6
591,96.64796918
592,96.69633964
593,96.74513013
594,96.7943594
595,96.84404623
596,96.89420935
597,96.94486754
598,96.99603954
599,97.0477441
600,97.1
601,97.15276897
602,97.20578473
603,97.25872399
604,97.31126345
605,97.36307981
606,97.41384979
607,97.4632501
608,97.51095743
609,97.55664849
610,97.6
611,97.64075494
612,97.67892144
613,97.71457393
614,97.74778681
615,97.77863452
616,97.80719147
617,97.83353207
618,97.85773075
619,97.87986192
620,97.9
621,97.91831128
622,97.93532951
623,97.95168031
624,97.9679893
625,97.9848821
626,98.00298433
627,98.02292162
628,98.04531958
629,98.07080383
630,98.1
631,98.13329995
632,98.17016053
633,98.20980485
634,98.251456
635,98.29433708
636,98.3376712
637,98.38068145
638,98.42259093
639,98.46262275
640,98.5
641,98.53418893
642,98.56562837
643,98.5950003
644,98.62298671
645,98.65026957
646,98.67753087
647,98.70545258
648,98.73471668
649,98.76600516
650,98.8
651,98.83714434
652,98.87692599
653,98.91859394
654,98.96139715
655,99.00458462
656,99.04740532
657,99.08910823
658,99.12894233
659,99.16615659
660,99.2
661,99.22993372
662,99.25626767
663,99.27952395
664,99.30022467
665,99.31889193
666,99.33604784
667,99.35221449
668,99.367914
669,99.38366847
670,99.4
671,99.41732078
672,99.43560333
673,99.45471026
674,99.47450417
675,99.49484766
676,99.51560333
677,99.5366338
678,99.55780167
679,99.57896953
680,99.6
681,99.62078316
682,99.641319
683,99.66163501
684,99.68175867
685,99.70171745
686,99.72153883
687,99.7412503
688,99.76087933
689,99.78045341
690,99.8
691,99.81954659
692,99.83912067
693,99.8587497
694,99.87846117
695,99.89828255
696,99.91824133
697,99.93836499
698,99.958681
699,99.97921684
700,100
